,name,maxAgentDensity,oxygenDiffusivity,vegfDiffusivity,G1,S,G2,M,endothelialDivisionDelay,minimumVegfConcentration,baseOxygenEmissionRate,minHIF,maxHIF,ultraHypoxicThreshold,hypoxicThreshold,minPSynthesis,minimumOxygenConcentration,baseHifRate,numCancerCells,numEndothelialCells,glucoseDiffusivity,glucoseSecretionRate,minGlucoseUptakeRate,maxGlucoseUptakeRate,pWarburgSwitch,enhancedHypoxicThreshold,minGlucoseWarburg,baseOxygenMetabolicRate,minGlucoseNonWarburg,healthyTissueOxygenUptakeRate,dt,diffusionSolveIterations,envSize
1227,experiments_011019_hyp_testing_full_pws_0.2_moc_12_27,70,0.21403435769999998,0.0001,7,2,10,1,10,3.9273676872000003,40,0,16,3,20,0.4540827937,12,1,15,1,0.0003459182,190,10,16.304101074600002,0.2,75,13.5616957907,25,3.6596008157999997,25,4500,10,20
1228,experiments_011019_hyp_testing_full_pws_0.2_moc_12_28,70,0.49668395090000006,0.0001,7,2,10,1,10,5.4982648273,40,0,16,3,20,0.6435717905,12,1,13,1,0.0013678492,190,10,21.8577842658,0.2,75,14.4177027005,25,8.7039880677,25,4500,10,20
1229,experiments_011019_hyp_testing_full_pws_0.2_moc_12_29,70,0.3802327353,0.0001,7,2,10,1,10,5.8572607447000005,40,0,16,3,20,0.3907535427,12,1,14,1,0.0009970171,190,10,20.2775891886,0.2,75,11.665199349100002,25,3.4642305593000002,25,4500,10,20
1230,experiments_011019_hyp_testing_full_pws_0.2_moc_12_30,70,0.22837806170000002,0.0001,7,2,10,1,10,5.3604542465,40,0,16,3,20,0.5200014988,12,1,13,1,0.0013245964,190,10,18.7887144235,0.2,75,16.7852274192,25,4.7482330613,25,4500,10,20
1231,experiments_011019_hyp_testing_full_pws_0.2_moc_12_31,70,0.17607641920000003,0.0001,7,2,10,1,10,6.144258152999999,40,0,16,3,20,0.797549182,12,1,15,1,0.0012906876,190,10,19.5277643955,0.2,75,13.5481874727,25,5.728116826799999,25,4500,10,20
1232,experiments_011019_hyp_testing_full_pws_0.2_moc_12_32,70,0.2282721423,0.0001,7,2,10,1,10,6.045251238600001,40,0,16,3,20,0.7925409277,12,1,12,1,5.03587542598077e-05,190,10,21.699245735799998,0.2,75,19.0459290619,25,3.4155135519999997,25,4500,10,20
1233,experiments_011019_hyp_testing_full_pws_0.2_moc_12_33,70,0.24459482989999998,0.0001,7,2,10,1,10,6.9353374608000005,40,0,16,3,20,0.062434263899999995,12,1,15,1,0.0010551265,190,10,15.054689276400001,0.2,75,14.682489341099998,25,9.251969095,25,4500,10,20
1234,experiments_011019_hyp_testing_full_pws_0.2_moc_12_34,70,0.3428162142,0.0001,7,2,10,1,10,5.2956929897,40,0,16,3,20,0.4568552946,12,1,15,1,0.0004894211,190,10,19.9350824475,0.2,75,17.0221207395,25,10.497147478099999,25,4500,10,20
1235,experiments_011019_hyp_testing_full_pws_0.2_moc_12_35,70,0.3187709543,0.0001,7,2,10,1,10,4.1971112339,40,0,16,3,20,0.4129063473,12,1,14,1,0.0008726969,190,10,19.274808398,0.2,75,16.7772046664,25,2.1733044931,25,4500,10,20
1236,experiments_011019_hyp_testing_full_pws_0.2_moc_12_36,70,0.18234188350000002,0.0001,7,2,10,1,10,5.0311109573,40,0,16,3,20,0.3247234175,12,1,14,1,1.3995290682887197e-05,190,10,16.4708814492,0.2,75,15.6566528904,25,1.2067043885,25,4500,10,20
1237,experiments_011019_hyp_testing_full_pws_0.2_moc_12_37,70,0.26718503,0.0001,7,2,10,1,10,6.5674278246,40,0,16,3,20,0.2938787984,12,1,13,1,0.0014748985999999999,190,10,20.0038182816,0.2,75,10.5111987714,25,4.1405947818,25,4500,10,20
1238,experiments_011019_hyp_testing_full_pws_0.2_moc_12_38,70,0.2638977495,0.0001,7,2,10,1,10,4.5530533035000005,40,0,16,3,20,0.6358098109,12,1,14,1,0.0007668626,190,10,18.2228461749,0.2,75,16.4181070866,25,11.7776918386,25,4500,10,20
